Host: mne-ubu  Current process id: 15164
./linkern -s 42 -S linkern.tour -R 1000000000 -t 18000 ./cities1k.tsp
Chained Lin-Kernighan with seed 42
Problem Name: traveling-santa-2018-prime-paths
traveling-santa-2018-prime-paths
Problem Type: TSP
Number of Nodes: 197769
Rounded Euclidean Norm (CC_EUCLIDEAN)
Time to build kdtree: 0.05
..................................................................................................................................................................................................... 908246 edges
Time to find quad 2-nearest: 0.90
Grow a Quick-Boruvka tour 
...................
Length of Quick-Boruvka Tour: 1664310972.00
Time to grow tour: 0.14
linkern ...
Starting Cycle: 1664310972
   0 Steps   Best: 1515290198   5.13 seconds
 159 Steps   Best: 1514709565   5.60 seconds
 160 Steps   Best: 1514694790   5.60 seconds
 161 Steps   Best: 1514433770   5.60 seconds
 163 Steps   Best: 1514433590   5.60 seconds
 164 Steps   Best: 1514421608   5.61 seconds
 165 Steps   Best: 1514420079   5.61 seconds
 166 Steps   Best: 1514419269   5.61 seconds
 171 Steps   Best: 1514416601   5.63 seconds
 174 Steps   Best: 1514414188   5.63 seconds
 175 Steps   Best: 1514409038   5.64 seconds
 178 Steps   Best: 1514406798   5.64 seconds
 182 Steps   Best: 1514406130   5.65 seconds
 183 Steps   Best: 1514405681   5.65 seconds
 184 Steps   Best: 1514401019   5.65 seconds
 185 Steps   Best: 1514399466   5.65 seconds
 188 Steps   Best: 1514394289   5.66 seconds
 189 Steps   Best: 1514393985   5.66 seconds
 193 Steps   Best: 1514389969   5.67 seconds
 195 Steps   Best: 1514383903   5.67 seconds
 197 Steps   Best: 1514368853   5.68 seconds
 198 Steps   Best: 1514363303   5.68 seconds
 199 Steps   Best: 1514354864   5.68 seconds
 200 Steps   Best: 1514347932   5.69 seconds
 201 Steps   Best: 1514347100   5.69 seconds
 203 Steps   Best: 1514342319   5.69 seconds
 204 Steps   Best: 1514342269   5.70 seconds
 206 Steps   Best: 1514342036   5.70 seconds
 207 Steps   Best: 1514331316   5.70 seconds
 209 Steps   Best: 1514327566   5.71 seconds
 210 Steps   Best: 1514326451   5.71 seconds
 214 Steps   Best: 1514325768   5.72 seconds
 215 Steps   Best: 1514323134   5.72 seconds
 220 Steps   Best: 1514308482   5.72 seconds
 222 Steps   Best: 1514303998   5.73 seconds
 224 Steps   Best: 1514285931   5.74 seconds
 225 Steps   Best: 1514282644   5.74 seconds
 226 Steps   Best: 1514281210   5.75 seconds
 227 Steps   Best: 1514271451   5.75 seconds
 229 Steps   Best: 1514270089   5.75 seconds
 230 Steps   Best: 1514268347   5.75 seconds
 231 Steps   Best: 1514264569   5.76 seconds
 232 Steps   Best: 1514263414   5.76 seconds
 233 Steps   Best: 1514261469   5.76 seconds
 238 Steps   Best: 1514260600   5.77 seconds
 240 Steps   Best: 1514257958   5.78 seconds
 244 Steps   Best: 1514254098   5.79 seconds
 245 Steps   Best: 1514248206   5.80 seconds
 249 Steps   Best: 1514237009   5.80 seconds
 252 Steps   Best: 1514234179   5.81 seconds
 254 Steps   Best: 1514232479   5.81 seconds
 256 Steps   Best: 1514230386   5.83 seconds
 257 Steps   Best: 1514229962   5.83 seconds
 259 Steps   Best: 1514225201   5.83 seconds
 260 Steps   Best: 1514217064   5.83 seconds
 261 Steps   Best: 1514214053   5.83 seconds
 263 Steps   Best: 1514212998   5.84 seconds
 264 Steps   Best: 1514209553   5.85 seconds
 268 Steps   Best: 1514207113   5.85 seconds
 269 Steps   Best: 1514206956   5.85 seconds
 275 Steps   Best: 1514195968   5.87 seconds
 276 Steps   Best: 1514190769   5.87 seconds
 278 Steps   Best: 1514190614   5.88 seconds
 279 Steps   Best: 1514183563   5.88 seconds
 280 Steps   Best: 1514177687   5.88 seconds
 282 Steps   Best: 1514173697   5.89 seconds
 283 Steps   Best: 1514171799   5.89 seconds
 284 Steps   Best: 1514171385   5.89 seconds
 285 Steps   Best: 1514170346   5.89 seconds
 287 Steps   Best: 1514169378   5.90 seconds
 289 Steps   Best: 1514167180   5.90 seconds
 290 Steps   Best: 1514166978   5.90 seconds
 291 Steps   Best: 1514164308   5.91 seconds
 293 Steps   Best: 1514163392   5.91 seconds
 296 Steps   Best: 1514158884   5.92 seconds
 297 Steps   Best: 1514145151   5.93 seconds
 298 Steps   Best: 1514145071   5.93 seconds
 299 Steps   Best: 1514144538   5.93 seconds
 301 Steps   Best: 1514116472   5.93 seconds
 302 Steps   Best: 1514116137   5.94 seconds
 303 Steps   Best: 1514111393   5.94 seconds
 304 Steps   Best: 1514110953   5.94 seconds
 305 Steps   Best: 1514105973   5.94 seconds
 306 Steps   Best: 1514092375   5.95 seconds
 308 Steps   Best: 1514088417   5.95 seconds
 309 Steps   Best: 1514086048   5.96 seconds
 311 Steps   Best: 1514083622   5.96 seconds
 312 Steps   Best: 1514077723   5.96 seconds
 313 Steps   Best: 1514075249   5.97 seconds
 316 Steps   Best: 1514073168   5.98 seconds
 317 Steps   Best: 1514068131   5.98 seconds
 319 Steps   Best: 1514058415   5.99 seconds
 320 Steps   Best: 1514057811   5.99 seconds
 322 Steps   Best: 1514053813   6.00 seconds
 323 Steps   Best: 1514053436   6.00 seconds
 329 Steps   Best: 1514052250   6.02 seconds
 330 Steps   Best: 1514046084   6.02 seconds
 332 Steps   Best: 1514039371   6.03 seconds
 334 Steps   Best: 1514034577   6.04 seconds
 335 Steps   Best: 1514032343   6.04 seconds
 339 Steps   Best: 1514032168   6.05 seconds
 340 Steps   Best: 1514030328   6.06 seconds
 341 Steps   Best: 1514029231   6.06 seconds
 342 Steps   Best: 1514021765   6.06 seconds
 343 Steps   Best: 1514004529   6.07 seconds
 345 Steps   Best: 1513998987   6.08 seconds
 346 Steps   Best: 1513994198   6.08 seconds
 347 Steps   Best: 1513989006   6.09 seconds
 355 Steps   Best: 1513988433   6.10 seconds
 358 Steps   Best: 1513981695   6.11 seconds
 360 Steps   Best: 1513977372   6.13 seconds
 361 Steps   Best: 1513970985   6.13 seconds
 362 Steps   Best: 1513966836   6.14 seconds
 363 Steps   Best: 1513962805   6.14 seconds
 367 Steps   Best: 1513961527   6.15 seconds
 369 Steps   Best: 1513958377   6.15 seconds
 371 Steps   Best: 1513932492   6.17 seconds
 372 Steps   Best: 1513931986   6.17 seconds
 373 Steps   Best: 1513929871   6.18 seconds
 375 Steps   Best: 1513916782   6.18 seconds
 377 Steps   Best: 1513911293   6.18 seconds
 379 Steps   Best: 1513909445   6.19 seconds
 382 Steps   Best: 1513908902   6.20 seconds
 385 Steps   Best: 1513905573   6.21 seconds
 386 Steps   Best: 1513902136   6.21 seconds
 390 Steps   Best: 1513892709   6.22 seconds
 393 Steps   Best: 1513891333   6.24 seconds
 394 Steps   Best: 1513881094   6.24 seconds
 396 Steps   Best: 1513878248   6.25 seconds
 398 Steps   Best: 1513876834   6.25 seconds
 399 Steps   Best: 1513874727   6.25 seconds
 401 Steps   Best: 1513870733   6.26 seconds
 402 Steps   Best: 1513869218   6.26 seconds
 403 Steps   Best: 1513864434   6.27 seconds
 406 Steps   Best: 1513860584   6.28 seconds
 407 Steps   Best: 1513859458   6.28 seconds
 408 Steps   Best: 1513859231   6.28 seconds
 414 Steps   Best: 1513854085   6.30 seconds
 415 Steps   Best: 1513852865   6.30 seconds
 417 Steps   Best: 1513852337   6.31 seconds
 418 Steps   Best: 1513851537   6.31 seconds
 419 Steps   Best: 1513850425   6.31 seconds
 420 Steps   Best: 1513842422   6.32 seconds
 422 Steps   Best: 1513840230   6.32 seconds
 423 Steps   Best: 1513838538   6.32 seconds
 425 Steps   Best: 1513834694   6.33 seconds
 426 Steps   Best: 1513832754   6.33 seconds
 428 Steps   Best: 1513831864   6.34 seconds
 429 Steps   Best: 1513829991   6.34 seconds
 430 Steps   Best: 1513828585   6.34 seconds
 431 Steps   Best: 1513828579   6.35 seconds
 432 Steps   Best: 1513824474   6.35 seconds
 433 Steps   Best: 1513822419   6.35 seconds
 437 Steps   Best: 1513811238   6.36 seconds
 438 Steps   Best: 1513808990   6.36 seconds
 440 Steps   Best: 1513808029   6.37 seconds
 441 Steps   Best: 1513806358   6.37 seconds
 443 Steps   Best: 1513785988   6.38 seconds
 445 Steps   Best: 1513783753   6.39 seconds
 446 Steps   Best: 1513773883   6.39 seconds
 447 Steps   Best: 1513773224   6.39 seconds
 450 Steps   Best: 1513767381   6.40 seconds
 451 Steps   Best: 1513761939   6.41 seconds
 455 Steps   Best: 1513761048   6.42 seconds
 459 Steps   Best: 1513756232   6.43 seconds
 462 Steps   Best: 1513745260   6.43 seconds
 465 Steps   Best: 1513725012   6.45 seconds
 467 Steps   Best: 1513720114   6.45 seconds
 469 Steps   Best: 1513719638   6.45 seconds
 470 Steps   Best: 1513719378   6.46 seconds
 471 Steps   Best: 1513709986   6.47 seconds
 472 Steps   Best: 1513700705   6.47 seconds
 473 Steps   Best: 1513696987   6.47 seconds
 476 Steps   Best: 1513696274   6.48 seconds
 477 Steps   Best: 1513691850   6.49 seconds
 478 Steps   Best: 1513689851   6.49 seconds
 479 Steps   Best: 1513688337   6.49 seconds
 482 Steps   Best: 1513683348   6.50 seconds
 483 Steps   Best: 1513681224   6.50 seconds
 485 Steps   Best: 1513677568   6.51 seconds
 487 Steps   Best: 1513676081   6.52 seconds
 489 Steps   Best: 1513675092   6.53 seconds
 490 Steps   Best: 1513674283   6.53 seconds
 492 Steps   Best: 1513670260   6.53 seconds
 494 Steps   Best: 1513667557   6.53 seconds
 495 Steps   Best: 1513654366   6.54 seconds
 498 Steps   Best: 1513646166   6.56 seconds
 499 Steps   Best: 1513643567   6.57 seconds
 500 Steps   Best: 1513634488   6.57 seconds
 501 Steps   Best: 1513633141   6.57 seconds
 502 Steps   Best: 1513625251   6.57 seconds
 504 Steps   Best: 1513613098   6.57 seconds
 510 Steps   Best: 1513606172   6.58 seconds
 511 Steps   Best: 1513599372   6.59 seconds
 513 Steps   Best: 1513587907   6.59 seconds
 514 Steps   Best: 1513587364   6.60 seconds
 521 Steps   Best: 1513586179   6.61 seconds
 524 Steps   Best: 1513582989   6.62 seconds
 526 Steps   Best: 1513581582   6.62 seconds
 530 Steps   Best: 1513573213   6.63 seconds
 531 Steps   Best: 1513571640   6.63 seconds
 535 Steps   Best: 1513571333   6.65 seconds
 541 Steps   Best: 1513568757   6.66 seconds
 542 Steps   Best: 1513565376   6.66 seconds
 543 Steps   Best: 1513559440   6.67 seconds
 546 Steps   Best: 1513555930   6.67 seconds
 547 Steps   Best: 1513554482   6.67 seconds
 548 Steps   Best: 1513547771   6.68 seconds
 549 Steps   Best: 1513546407   6.68 seconds
 552 Steps   Best: 1513539707   6.69 seconds
 553 Steps   Best: 1513536302   6.69 seconds
 554 Steps   Best: 1513527812   6.69 seconds
 558 Steps   Best: 1513522419   6.71 seconds
 559 Steps   Best: 1513520491   6.71 seconds
 560 Steps   Best: 1513504636   6.71 seconds
 561 Steps   Best: 1513503784   6.71 seconds
 567 Steps   Best: 1513501726   6.73 seconds
 569 Steps   Best: 1513500059   6.73 seconds
 570 Steps   Best: 1513499802   6.73 seconds
 571 Steps   Best: 1513497411   6.74 seconds
 572 Steps   Best: 1513470721   6.75 seconds
 573 Steps   Best: 1513465492   6.75 seconds
 576 Steps   Best: 1513464207   6.75 seconds
 585 Steps   Best: 1513461309   6.79 seconds
 586 Steps   Best: 1513454024   6.79 seconds
 587 Steps   Best: 1513448939   6.79 seconds
 590 Steps   Best: 1513446917   6.81 seconds
 591 Steps   Best: 1513445326   6.82 seconds
 592 Steps   Best: 1513441032   6.82 seconds
 593 Steps   Best: 1513439303   6.82 seconds
 594 Steps   Best: 1513437185   6.83 seconds
 595 Steps   Best: 1513437014   6.83 seconds
 598 Steps   Best: 1513435580   6.83 seconds
 599 Steps   Best: 1513433009   6.83 seconds
 600 Steps   Best: 1513430154   6.84 seconds
 601 Steps   Best: 1513429213   6.84 seconds
 602 Steps   Best: 1513427694   6.84 seconds
 603 Steps   Best: 1513419209   6.85 seconds
 604 Steps   Best: 1513414268   6.85 seconds
 606 Steps   Best: 1513412487   6.87 seconds
 608 Steps   Best: 1513409262   6.88 seconds
 609 Steps   Best: 1513408295   6.88 seconds
 610 Steps   Best: 1513404164   6.89 seconds
 611 Steps   Best: 1513401371   6.89 seconds
 616 Steps   Best: 1513400376   6.90 seconds
 618 Steps   Best: 1513400315   6.90 seconds
 619 Steps   Best: 1513396708   6.90 seconds
 620 Steps   Best: 1513383144   6.90 seconds
 621 Steps   Best: 1513381318   6.91 seconds
 623 Steps   Best: 1513377906   6.91 seconds
 624 Steps   Best: 1513377411   6.92 seconds
 629 Steps   Best: 1513372127   6.93 seconds
 632 Steps   Best: 1513368138   6.94 seconds
 635 Steps   Best: 1513367504   6.94 seconds
 637 Steps   Best: 1513366385   6.95 seconds
 638 Steps   Best: 1513363651   6.95 seconds
 639 Steps   Best: 1513362348   6.96 seconds
 641 Steps   Best: 1513356971   6.96 seconds
 642 Steps   Best: 1513352310   6.96 seconds
 643 Steps   Best: 1513350761   6.96 seconds
 645 Steps   Best: 1513348506   6.97 seconds
 647 Steps   Best: 1513341772   6.98 seconds
 649 Steps   Best: 1513341241   6.98 seconds
 650 Steps   Best: 1513340226   6.98 seconds
 651 Steps   Best: 1513336632   6.98 seconds
 652 Steps   Best: 1513333822   6.99 seconds
 653 Steps   Best: 1513331737   6.99 seconds
 654 Steps   Best: 1513326824   6.99 seconds
 656 Steps   Best: 1513325763   7.00 seconds
 657 Steps   Best: 1513322654   7.00 seconds
 658 Steps   Best: 1513320481   7.00 seconds
 660 Steps   Best: 1513317223   7.01 seconds
 662 Steps   Best: 1513316968   7.01 seconds
 663 Steps   Best: 1513316418   7.02 seconds
 665 Steps   Best: 1513313640   7.02 seconds
 666 Steps   Best: 1513313000   7.02 seconds
 667 Steps   Best: 1513310494   7.02 seconds
 669 Steps   Best: 1513291047   7.03 seconds
 672 Steps   Best: 1513286425   7.04 seconds
 677 Steps   Best: 1513285143   7.05 seconds
 678 Steps   Best: 1513270582   7.07 seconds
 680 Steps   Best: 1513269286   7.08 seconds
 683 Steps   Best: 1513267736   7.09 seconds
 688 Steps   Best: 1513260765   7.10 seconds
 692 Steps   Best: 1513260415   7.11 seconds
 694 Steps   Best: 1513259755   7.13 seconds
 697 Steps   Best: 1513259224   7.14 seconds
 698 Steps   Best: 1513257005   7.14 seconds
 699 Steps   Best: 1513252182   7.14 seconds
 700 Steps   Best: 1513244957   7.14 seconds
 702 Steps   Best: 1513244109   7.15 seconds
 703 Steps   Best: 1513241592   7.16 seconds
 704 Steps   Best: 1513241195   7.16 seconds
 707 Steps   Best: 1513240242   7.17 seconds
 712 Steps   Best: 1513239341   7.18 seconds
 713 Steps   Best: 1513237957   7.18 seconds
 714 Steps   Best: 1513234002   7.19 seconds
 716 Steps   Best: 1513231641   7.19 seconds
 718 Steps   Best: 1513228664   7.20 seconds
 719 Steps   Best: 1513216092   7.21 seconds
 720 Steps   Best: 1513213617   7.22 seconds
 722 Steps   Best: 1513212508   7.22 seconds
 723 Steps   Best: 1513209857   7.22 seconds
 724 Steps   Best: 1513208129   7.22 seconds
 725 Steps   Best: 1513203686   7.23 seconds
 726 Steps   Best: 1513198880   7.23 seconds
 729 Steps   Best: 1513193685   7.24 seconds
 730 Steps   Best: 1513192779   7.24 seconds
 732 Steps   Best: 1513180816   7.24 seconds
 733 Steps   Best: 1513170366   7.25 seconds
 734 Steps   Best: 1513168671   7.25 seconds
 739 Steps   Best: 1513166763   7.26 seconds
 746 Steps   Best: 1513165689   7.28 seconds
 747 Steps   Best: 1513164667   7.28 seconds
 749 Steps   Best: 1513162470   7.28 seconds
 751 Steps   Best: 1513160528   7.29 seconds
 754 Steps   Best: 1513160432   7.29 seconds
 755 Steps   Best: 1513156500   7.29 seconds
 757 Steps   Best: 1513155893   7.30 seconds
 758 Steps   Best: 1513149349   7.30 seconds
 759 Steps   Best: 1513149015   7.31 seconds
 760 Steps   Best: 1513142373   7.31 seconds
 762 Steps   Best: 1513134329   7.32 seconds
 765 Steps   Best: 1513128460   7.33 seconds
 768 Steps   Best: 1513126436   7.34 seconds
 769 Steps   Best: 1513125861   7.34 seconds
 770 Steps   Best: 1513123579   7.34 seconds
 771 Steps   Best: 1513122431   7.34 seconds
 773 Steps   Best: 1513097327   7.34 seconds
 774 Steps   Best: 1513090540   7.35 seconds
 775 Steps   Best: 1513088212   7.35 seconds
 776 Steps   Best: 1513082321   7.35 seconds
 778 Steps   Best: 1513081301   7.36 seconds
 781 Steps   Best: 1513077725   7.36 seconds
 783 Steps   Best: 1513076059   7.37 seconds
 784 Steps   Best: 1513073637   7.37 seconds
 785 Steps   Best: 1513073569   7.37 seconds
 786 Steps   Best: 1513070092   7.37 seconds
 798 Steps   Best: 1513068716   7.40 seconds
 799 Steps   Best: 1513062126   7.40 seconds
 801 Steps   Best: 1513061668   7.41 seconds
 803 Steps   Best: 1513054214   7.41 seconds
 805 Steps   Best: 1513053728   7.42 seconds
 806 Steps   Best: 1513052248   7.42 seconds
 807 Steps   Best: 1513048249   7.42 seconds
 808 Steps   Best: 1513041326   7.43 seconds
 810 Steps   Best: 1513038955   7.43 seconds
 811 Steps   Best: 1513038347   7.44 seconds
 812 Steps   Best: 1513037082   7.44 seconds
 815 Steps   Best: 1513035176   7.45 seconds
 819 Steps   Best: 1513032196   7.45 seconds
 820 Steps   Best: 1513028144   7.46 seconds
 826 Steps   Best: 1513027795   7.47 seconds
 829 Steps   Best: 1513025431   7.48 seconds
 831 Steps   Best: 1513025169   7.48 seconds
 833 Steps   Best: 1513024484   7.49 seconds
 834 Steps   Best: 1513023099   7.49 seconds
 836 Steps   Best: 1513021973   7.49 seconds
 839 Steps   Best: 1513018347   7.51 seconds
 841 Steps   Best: 1513014229   7.51 seconds
 842 Steps   Best: 1513013282   7.51 seconds
 843 Steps   Best: 1513005410   7.51 seconds
 844 Steps   Best: 1512998892   7.53 seconds
 846 Steps   Best: 1512986996   7.54 seconds
 848 Steps   Best: 1512950083   7.55 seconds
 849 Steps   Best: 1512949052   7.55 seconds
 850 Steps   Best: 1512947210   7.55 seconds
 852 Steps   Best: 1512940350   7.57 seconds
 856 Steps   Best: 1512940321   7.59 seconds
 859 Steps   Best: 1512934747   7.60 seconds
 860 Steps   Best: 1512933278   7.60 seconds
 861 Steps   Best: 1512923859   7.60 seconds
 862 Steps   Best: 1512918332   7.61 seconds
 863 Steps   Best: 1512914475   7.61 seconds
 865 Steps   Best: 1512913368   7.61 seconds
 869 Steps   Best: 1512910838   7.62 seconds
 870 Steps   Best: 1512910366   7.62 seconds
 871 Steps   Best: 1512909370   7.63 seconds
 873 Steps   Best: 1512907961   7.63 seconds
 874 Steps   Best: 1512907887   7.63 seconds
 878 Steps   Best: 1512904940   7.64 seconds
 880 Steps   Best: 1512901423   7.65 seconds
 881 Steps   Best: 1512897980   7.65 seconds
 882 Steps   Best: 1512888475   7.65 seconds
 884 Steps   Best: 1512883019   7.67 seconds
 890 Steps   Best: 1512882631   7.68 seconds
 891 Steps   Best: 1512881200   7.68 seconds
 892 Steps   Best: 1512872802   7.69 seconds
 893 Steps   Best: 1512869653   7.69 seconds
 894 Steps   Best: 1512868922   7.69 seconds
 897 Steps   Best: 1512867299   7.69 seconds
 899 Steps   Best: 1512864625   7.70 seconds
 901 Steps   Best: 1512863591   7.70 seconds
 902 Steps   Best: 1512862164   7.70 seconds
 904 Steps   Best: 1512860710   7.71 seconds
 907 Steps   Best: 1512856931   7.71 seconds
 909 Steps   Best: 1512854261   7.72 seconds
 910 Steps   Best: 1512836469   7.72 seconds
 918 Steps   Best: 1512833492   7.74 seconds
 919 Steps   Best: 1512831939   7.75 seconds
 920 Steps   Best: 1512830539   7.75 seconds
 921 Steps   Best: 1512828603   7.75 seconds
 924 Steps   Best: 1512828378   7.76 seconds
 925 Steps   Best: 1512827530   7.76 seconds
 927 Steps   Best: 1512827384   7.77 seconds
 928 Steps   Best: 1512822490   7.77 seconds
 929 Steps   Best: 1512810908   7.77 seconds
 930 Steps   Best: 1512810777   7.77 seconds
 931 Steps   Best: 1512808910   7.78 seconds
 938 Steps   Best: 1512807598   7.79 seconds
 940 Steps   Best: 1512804765   7.79 seconds
 943 Steps   Best: 1512800671   7.80 seconds
 947 Steps   Best: 1512798191   7.81 seconds
 949 Steps   Best: 1512793497   7.82 seconds
 950 Steps   Best: 1512792113   7.82 seconds
 954 Steps   Best: 1512788179   7.83 seconds
 961 Steps   Best: 1512787594   7.84 seconds
 962 Steps   Best: 1512787136   7.84 seconds
 963 Steps   Best: 1512782130   7.85 seconds
 964 Steps   Best: 1512772469   7.85 seconds
 971 Steps   Best: 1512771756   7.87 seconds
 973 Steps   Best: 1512769416   7.88 seconds
 974 Steps   Best: 1512768728   7.88 seconds
 975 Steps   Best: 1512767659   7.88 seconds
 976 Steps   Best: 1512763172   7.89 seconds
 981 Steps   Best: 1512753996   7.90 seconds
 985 Steps   Best: 1512751261   7.91 seconds
 986 Steps   Best: 1512749646   7.91 seconds
 990 Steps   Best: 1512746358   7.92 seconds
 991 Steps   Best: 1512739957   7.93 seconds
 993 Steps   Best: 1512737509   7.93 seconds
 994 Steps   Best: 1512728338   7.93 seconds
 997 Steps   Best: 1512724860   7.94 seconds
 998 Steps   Best: 1512723770   7.94 seconds
 999 Steps   Best: 1512723770   7.95 seconds
1004 Steps   Best: 1512714396   7.96 seconds
1007 Steps   Best: 1512710649   7.97 seconds
1010 Steps   Best: 1512703756   7.98 seconds
1014 Steps   Best: 1512703047   7.99 seconds
1015 Steps   Best: 1512700601   7.99 seconds
1017 Steps   Best: 1512700420   7.99 seconds
1019 Steps   Best: 1512696499   8.00 seconds
1021 Steps   Best: 1512686878   8.01 seconds
1025 Steps   Best: 1512686464   8.02 seconds
1030 Steps   Best: 1512682624   8.03 seconds
1031 Steps   Best: 1512682045   8.04 seconds
1032 Steps   Best: 1512681261   8.04 seconds
1034 Steps   Best: 1512678477   8.05 seconds
1035 Steps   Best: 1512673293   8.05 seconds
1038 Steps   Best: 1512673184   8.05 seconds
1039 Steps   Best: 1512668181   8.05 seconds
1040 Steps   Best: 1512663349   8.06 seconds
1043 Steps   Best: 1512661068   8.07 seconds
1045 Steps   Best: 1512660794   8.07 seconds
1047 Steps   Best: 1512655390   8.08 seconds
1050 Steps   Best: 1512654407   8.08 seconds
1053 Steps   Best: 1512654337   8.09 seconds
1054 Steps   Best: 1512651018   8.09 seconds
1055 Steps   Best: 1512650676   8.09 seconds
1056 Steps   Best: 1512648529   8.09 seconds
1057 Steps   Best: 1512647405   8.09 seconds
1059 Steps   Best: 1512644536   8.10 seconds
1060 Steps   Best: 1512642507   8.10 seconds
1061 Steps   Best: 1512639315   8.11 seconds
